lat,lon,addr,sqft,assessed,market,subsidy,change,county
37.36514,-118.39975,"562 W Elm St, Bishop",4180,276408,605747,3886,2069,Inyo
37.16683,-118.29302,"291 W Crocker Ave, Big Pine",49222,250789,431538,2133,838,Inyo
37.36338,-118.38941,"386 May St, Bishop",4920,343294,605747,3097,1280,Inyo
37.36514,-118.39953,"518 W Elm St, Bishop",5060,364100,605747,2851,1034,Inyo
37.36479,-118.39993,"587 Grove St, Bishop",3850,364101,605747,2851,1034,Inyo
37.36311,-118.38923,"393 Willow St, Bishop",4915,295702,605747,3659,1841,Inyo
37.16754,-118.29373,"190 N School St, Big Pine",11233,469200,469200,0,-1408,Inyo
37.36494,-118.39993,"560 Hobson St, Bishop",1650,392646,605747,2515,697,Inyo
37.36311,-118.3894,"387 Willow St, Bishop",4915,339205,605747,3145,1328,Inyo
37.16778,-118.29375,"210 N School St, Big Pine",11788,414027,431538,207,-1088,Inyo
37.16796,-118.29375,"220 N School St, Big Pine",5200,128608,431538,3575,2280,Inyo
37.3631,-118.38989,"369 Willow St, Bishop",9830,329154,605747,3264,1447,Inyo
37.1665,-118.29167,"211 W Crocker Ave, Big Pine",13500,265301,431538,1962,667,Inyo
37.36561,-118.39839,"615 North Fowler St, Bishop",5500,398807,605747,2442,625,Inyo
37.16755,-118.29334,"192 N School St, Big Pine",7749,190545,431538,2844,1549,Inyo
37.3631,-118.39037,"337 Willow St, Bishop",4915,200979,605747,4776,2959,Inyo
37.16651,-118.29064,"151 W Crocker Ave, Big Pine",13500,216596,431538,2536,1242,Inyo
37.3631,-118.39055,"331 Willow St, Bishop",4915,230521,605747,4428,2610,Inyo
37.1665,-118.29103,"181 W Crocker Ave, Big Pine",27000,208739,431538,2629,1334,Inyo
37.36599,-118.39889,"686 Schley St, Bishop",5500,66536,605747,6363,4545,Inyo
37.36189,-118.38933,"387 East Line St, Bishop",9000,362415,605747,2871,1054,Inyo
37.16699,-118.29359,"160 N School St, Big Pine",25682,352787,431538,929,-365,Inyo
37.36309,-118.39072,"325 Willow St, Bishop",4915,312227,605747,3464,1646,Inyo
37.36561,-118.39857,"437 W Elm St, Bishop",5500,477543,605747,1513,-304,Inyo
37.16675,-118.29359,"158 North School St, Big Pine",12696,416734,431538,175,-1120,Inyo
37.36309,-118.39096,"315 Willow St, Bishop",6499,60613,605747,6433,4615,Inyo
37.36309,-118.39118,"307 Willow St, Bishop",6499,322096,605747,3347,1530,Inyo
37.16645,-118.29331,"311 W Crocker Ave, Big Pine",7728,33550,431538,4696,3402,Inyo
37.36561,-118.39881,"463 W Elm St, Bishop",5500,256735,605747,4118,2301,Inyo
37.3633,-118.39108,"362 N Third St, Bishop",6363,542296,605747,749,-1069,Inyo
37.36337,-118.3902,"350 May St, Bishop",2460,498780,605747,1262,-555,Inyo
37.36311,-118.38963,"375 Willow St, Bishop",4915,319028,605747,3383,1566,Inyo
37.36522,-118.39848,"400 W Elm St, Bishop",5500,229476,605747,4440,2623,Inyo
37.36337,-118.39038,"336 May St, Bishop",4920,82916,605747,6169,4352,Inyo
37.36507,-118.39848,"563 N Fowler St, Bishop",5500,195938,605747,4836,3019,Inyo
37.16784,-118.29344,"212 N School St, Big Pine",6466,106641,431538,3834,2539,Inyo
37.36484,-118.39847,"425 Grove St, Bishop",11000,520864,605747,1002,-816,Inyo
37.16784,-118.29327,"214 N School St, Big Pine",5968,113556,431538,3752,2458,Inyo
37.36196,-118.38838,"151 Hanby Ave, Bishop",5000,241232,605747,4301,2484,Inyo
37.16722,-118.29359,"170 N School St, Big Pine",11384,140448,431538,3435,2140,Inyo
37.36484,-118.3988,"463 Grove St, Bishop",5500,380067,605747,2663,846,Inyo
37.36268,-118.38885,"406 Willow St, Bishop",4900,474358,605747,1550,-267,Inyo
37.36484,-118.39897,"487 Grove St, Bishop",5500,228660,605747,4450,2632,Inyo
37.36269,-118.38868,"412 Willow St, Bishop",4900,333634,605747,3211,1394,Inyo
37.36514,-118.39897,"486 W Elm St, Bishop",5500,277576,605747,3872,2055,Inyo
37.36453,-118.38877,"512 N Second St, Bishop",5247,166876,605747,5179,3361,Inyo
37.36274,-118.38928,"390 Willow St, Bishop",4480,262591,605747,4049,2232,Inyo
37.36514,-118.3988,"462 W Elm St, Bishop",5500,409612,605747,2314,497,Inyo
37.36258,-118.38928,"237 N Second St, Bishop",4481,80600,605747,6197,4379,Inyo
37.36599,-118.39752,"687 Hammond St, Bishop",5500,117112,605747,5766,3949,Inyo
37.3649,-118.38877,"556 N Second St, Bishop",7871,182554,605747,4994,3176,Inyo
37.36561,-118.398,"387 W Elm St, Bishop",6050,453568,605747,1796,-22,Inyo
37.36222,-118.38838,"175 Hanby Ave, Bishop",4116,426532,605747,2115,297,Inyo
37.36209,-118.38838,"173 Hanby Ave, Bishop",5000,209292,605747,4678,2861,Inyo
37.36599,-118.39793,"686 N Fowler St, Bishop",5490,451013,605747,1826,9,Inyo
37.16521,-118.2997,"761 Cornell St, Big Pine",12743,193188,431538,2813,1518,Inyo
37.36414,-118.38869,"424 E Pine St, Bishop",5390,450867,605747,1828,10,Inyo
37.16521,-118.29987,"771 Cornell St, Big Pine",7438,97523,431538,3941,2647,Inyo
37.36384,-118.38869,"425 May St, Bishop",5390,176726,605747,5062,3245,Inyo
37.36306,-118.38783,"312 Hanby Ave, Bishop",4920,462739,605747,1687,-130,Inyo
37.36384,-118.38886,"415 May St, Bishop",5390,143149,605747,5459,3641,Inyo
37.36377,-118.38784,"412 Hanby Ave, Bishop",5500,341506,605747,3118,1301,Inyo
37.36414,-118.38886,"486 N Second St, Bishop",5390,260067,605747,4079,2262,Inyo
37.36393,-118.38784,"436 Hanby Ave, Bishop",5500,449208,605747,1847,30,Inyo
37.36408,-118.38784,"462 Hanby Ave, Bishop",5500,313935,605747,3443,1626,Inyo
37.36514,-118.3976,"336 W Elm St, Bishop",5500,92453,605747,6057,4240,Inyo
37.36168,-118.38782,"451 E Line St, Bishop",5000,397355,605747,2459,642,Inyo
37.36339,-118.38886,"362 N Second St, Bishop",4821,236080,605747,4362,2545,Inyo
37.36507,-118.39743,"563 Hammond St, Bishop",2500,204197,605747,4738,2921,Inyo
37.36195,-118.38782,"150 Hanby Ave, Bishop",5000,514685,605747,1075,-743,Inyo
37.36339,-118.38869,"424 May St, Bishop",4821,364099,605747,2851,1034,Inyo
37.36262,-118.38783,"262 Hanby Ave, Bishop",5000,235132,605747,4373,2556,Inyo
37.36312,-118.38886,"312 N Second St, Bishop",4816,85411,605747,6140,4323,Inyo
37.36276,-118.38783,"286 Hanby Ave, Bishop",5000,535000,605747,835,-982,Inyo
37.36346,-118.38839,"387 Hanby Ave, Bishop",4821,40270,605747,6673,4855,Inyo
37.36319,-118.38839,"337 Hanby Ave, Bishop",4811,107558,605747,5879,4061,Inyo
37.36485,-118.39687,"263 Grove St, Bishop",5500,113341,605747,5810,3993,Inyo
37.36174,-118.4006,"611 West Line St, Bishop",12000,598740,605747,83,-1735,Inyo
37.16527,-118.29577,"491 Cornell St, Big Pine",10022,307749,431538,1461,166,Inyo
37.3608,-118.40195,"175 Iris St, Bishop",6750,191865,605747,4884,3067,Inyo
37.36098,-118.40352,"768 W Line St, Bishop",16690,317208,605747,3405,1588,Inyo
37.16579,-118.29746,"590 W Crocker Ave, Big Pine",14104,459000,459000,0,-1377,Inyo
37.16579,-118.29715,"580 W Crocker Ave, Big Pine",21768,79979,431538,4148,2854,Inyo
37.16573,-118.29671,"550 W Crocker Ave, Big Pine",36892,170803,431538,3077,1782,Inyo
37.16581,-118.29605,"510 W Crocker Ave, Big Pine",16048,93535,431538,3988,2694,Inyo
37.16582,-118.29572,"490 W Crocker Ave, Big Pine",20768,124262,431538,3626,2331,Inyo
37.16582,-118.29535,"460 W Crocker Ave, Big Pine",19729,153395,431538,3282,1987,Inyo
37.36504,-118.39117,"546 N Third St, Bishop",7402,236640,605747,4355,2538,Inyo
37.3608,-118.40135,"174 B Iris St, Bishop",7007,289654,605747,3730,1913,Inyo
37.36227,-118.39908,"475 Church St, Bishop",3911,153479,605747,5337,3520,Inyo
37.16527,-118.29595,"501 Cornell St, Big Pine",11588,271066,431538,1894,599,Inyo
37.36516,-118.39117,"556 N Third St, Bishop",8750,188056,605747,4929,3112,Inyo
37.16527,-118.29612,"511 Cornell St, Big Pine",9083,335553,431538,1133,-162,Inyo
37.3661,-118.39272,"251 E Elm St, Bishop",6370,456319,605747,1763,-54,Inyo
37.16088,-118.28992,"561 S Main St, Big Pine",19628,369789,431538,729,-566,Inyo
37.1659,-118.29468,"430 W Crocker Ave, Big Pine",8328,282645,431538,1757,462,Inyo
36.60565,-118.06261,"115 S Jackson St, Lone Pine",5300,348840,379322,360,-778,Inyo
37.36557,-118.39117,"586 N Third St, Bishop",8911,151154,605747,5364,3547,Inyo
37.16577,-118.29421,"121 S School St, Big Pine",2786,53763,431538,4458,3163,Inyo
37.36544,-118.39117,"574 N Third St, Bishop",8894,419548,605747,2197,380,Inyo
37.16596,-118.29421,"111 S School St, Big Pine",6882,326010,431538,1245,-49,Inyo
